,country,rank,rating,games,birth_year,ranking_year
0,ARM,62.0,2624.75,18.5,1961.75,2000.0
1,BEL,23.0,2670.0,32.0,1959.0,2000.0
2,BIH,50.25,2634.0,14.25,1964.0,2000.0
3,BLR,59.0,2627.3333333333335,10.0,1972.3333333333333,2000.0
4,BRA,44.0,2638.5,29.0,1963.0,2000.0
5,BUL,16.25,2687.25,11.25,1970.0,2000.0
6,CHN,48.36363636363637,2640.5454545454545,43.09090909090909,1969.6363636363637,2000.0
7,CRO,73.0,2610.75,15.0,1964.5,2000.0
8,CZE,50.75,2637.0,29.25,1974.0,2000.0
9,DEN,64.0,2616.5,22.5,1964.0,2000.0
10,ENG,36.7,2663.7,20.0,1965.8,2000.0
11,ESP,6.0,2746.0,16.5,1972.0,2000.0
12,EST,53.0,2627.5,41.5,1962.0,2000.0
13,FRA,55.375,2629.75,13.0,1970.25,2000.0
14,GEO,55.75,2637.25,1.75,1962.0,2000.0
15,GER,75.3,2610.6,16.6,1962.4,2000.0
16,HUN,20.166666666666668,2689.8333333333335,16.833333333333332,1977.0,2000.0
17,IND,34.333333333333336,2710.0,21.666666666666668,1973.0,2000.0
18,ISR,46.5,2641.8,17.3,1969.8,2000.0
19,KAZ,76.0,2609.5,47.0,1957.0,2000.0
20,LTU,100.0,2593.0,17.0,1963.0,2000.0
21,MDA,68.25,2620.0,34.75,1974.0,2000.0
22,NED,50.25,2633.375,26.75,1966.25,2000.0
23,PER,85.0,2605.0,0.0,1967.0,2000.0
24,POL,10.0,2702.0,30.5,1963.0,2000.0
25,RUS,49.42857142857143,2652.5102040816328,17.816326530612244,1969.2857142857142,2000.0
26,SLO,42.0,2641.5,46.5,1953.0,2000.0
27,SUI,56.5,2626.0,21.25,1951.5,2000.0
28,SVK,77.0,2608.0,14.5,1957.0,2000.0
29,SWE,42.0,2641.0,10.5,1951.0,2000.0
30,UKR,56.63636363636363,2635.090909090909,16.636363636363637,1971.4545454545455,2000.0
31,USA,61.0,2624.222222222222,24.22222222222222,1958.2222222222222,2000.0
32,UZB,26.25,2666.75,26.0,1970.5,2000.0
0,ARM,53.214285714285715,2632.8571428571427,14.5,1962.857142857143,2001.0
1,BEL,50.666666666666664,2639.0,30.166666666666668,1962.3333333333333,2001.0
2,BIH,33.666666666666664,2655.3333333333335,24.5,1964.0,2001.0
3,BLR,69.5,2618.1666666666665,18.333333333333332,1972.6666666666667,2001.0
4,BRA,73.25,2610.0,13.0,1963.0,2001.0
